ligand,receptor
GHRH,GPR84
COL16A1,ITGB1
GDF5,ROR2
GDF5,BMPR2
GDF5,BMPR1B
HSPG2,SDC1
HSPG2,ITGB1
HSPG2,COL13A1
HSPG2,FGFR1
COL5A2,ITGB1
COL5A2,DDR1
F10,ITGAM
F10,ITGB2
SYK,LAT
COL4A1,ITGB1
FGF14,FGFR2
FGF14,FGFR1
HLA-C,LILRB2
HLA-C,CD3G
HLA-C,KIR3DL1
HLA-E,KLRD1
HLA-E,KIR3DL1
ANXA1,DYSF
IL31,IL31RA
ACTR2,LDLR
NDP,FZD4
NDP,LGR4
GDF9,BMPR1B
BMP2,BMPR1B
AGRN,ITGB1
AGRN,ATP1A3
INSL3,ADCYAP1R1
INSL3,TSHR
INSL3,GPR84
AVP,ADCYAP1R1
AVP,LDLR
AVP,GPR84
AVP,TSHR
SHBG,CLDN4
COL2A1,ITGB1
COL2A1,MAG
COL2A1,DDR1
RLN2,ADCYAP1R1
RLN2,TSHR
RLN2,GPR84
ZG16B,TLR5
ZG16B,CXCR4
RPH3A,NRXN1
LAMA1,ITGA6
LAMA1,ITGA7
LAMA1,ITGB1
CCL25,ACKR2
LAMB3,CD151
LAMB3,ITGB1
LAMB3,ITGA6
AFDN,EPHB6
AFDN,NRXN3
AFDN,NECTIN3
CSH2,PRLR
IL1F10,IL1R1
COL4A6,ITGB1
SPP1,ITGA4
SPP1,ITGB1
SPP1,ITGB3
LGALS9,SLC1A5
ADM2,ADCYAP1R1
ADM2,CALCRL
ADM2,TSHR
ADM2,GPR84
CXCL12,ITGB1
BMP7,BMPR1B
COL4A3,ITGB3
COL4A4,ITGB3
HLA-A,CD3G
CNTN4,PTPRG
TCTN1,TMEM67
PDCD1LG2,PDCD2
NPS,ADCYAP1R1
NPS,GPR84
NPS,TSHR
DSCAM,DCC
POMC,ADCYAP1R1
POMC,GPR84
POMC,TSHR
FBLN2,ITGB3
NXPH1,NRXN1
NXPH1,NRXN3
SAA1,FPR1
MDK,ITGA6
TF,LDLR
TF,HFE
ARTN,GFRA2
GCG,ADCYAP1R1
GCG,GPR84
GCG,TSHR
ADIPOQ,GPR42
PTPN6,CD300LF
RLN3,ADCYAP1R1
RLN3,TSHR
RLN3,GPR84
TNF,FFAR2
CCN1,ITGAM
CCN1,ITGB3
HLA-B,CD3G
LAMA2,ITGA7
HRAS,AGTR1
GDNF,GFRA2
HLA-G,KLRC1
ICAM2,ITGAM
FSHB,ADCYAP1R1
FSHB,TSHR
FSHB,GPR84
LRPAP1,LDLR
C1QTNF5,MFRP
HSPA8,LDLR
CALCB,ADCYAP1R1
CALCB,TSHR
CALCB,GPR84
ADM,ADCYAP1R1
ADM,TSHR
ADM,GPR84
PTHLH,ADCYAP1R1
PTHLH,GPR84
CGA,ADCYAP1R1
S100A10,CFTR
SHANK2,CFTR
HSP90AA1,CFTR
PLAU,ITGA3
LAMA3,ITGA3
LAMA4,ITGA3
LAMA2,ITGA3
LAMA1,ITGA3
LGALS8,ITGA3
NID1,ITGA3
LAMC3,ITGA3
THBS1,ITGA3
CALR,ITGA3
TIMP2,ITGA3
RELN,ITGA3
LAMB2,ITGA3
COL4A3,ITGA3
LAMA5,ITGA3
ADAM9,ITGA3
LAMC1,ITGA3
LAMB3,ITGA3
COL18A1,ITGA3
VTN,ITGA3
LAMB1,ITGA3
LAMC2,ITGA3
FN1,ITGA3
S100A4,PGLYRP1
MIF,CD74
HLA-G,CD4
CXCL12,CD4
SLPI,CD4
PIP,CD4
CPAMD8,SCTR
ADCYAP1,SCTR
CALM1,SCTR
RTN4,RTN4R
OMG,RTN4R
CD70,TNFRSF17
ST6GAL1,CD22
HP,CD22
CALM2,KCNQ1
CALML3,KCNQ1
CALM1,KCNQ1
CALM3,KCNQ1
FASLG,TNFRSF1A
TNFSF13,TNFRSF1A
LTB,TNFRSF1A
IL2,NGFR
RTN4,NGFR
OMG,NGFR
APP,NGFR
NTS,NGFR
BDNF,DRD4
PYY,FAP
NPY,FAP
LAMA3,ITGB4
LAMA2,ITGB4
LAMC3,ITGB4
LAMB2,ITGB4
LAMA5,ITGB4
LAMC1,ITGB4
LAMA1,ITGB4
LAMB3,ITGB4
LAMB1,ITGB4
LAMC2,ITGB4
FGF1,TGFBR3
INHA,TGFBR3
INHBA,TGFBR3
IL2,IL2RB
IL15,IL2RB
PF4,PROCR
FAM3C,GLRA2
IL16,KCND1
GHRL,MLNR
COL2A1,TNFRSF10A
RIMS1,SLC17A7
APP,APLP1
BTLA,CD79A
CXCL8,CD79A
FN1,CD79A
KLK3,EPOR
KITLG,EPOR
LAMA1,ITGB8
VTN,ITGB8
COL4A1,ITGB8
FN1,ITGB8
APP,TSPAN12
ADAM10,TSPAN12
PLG,PLGRKT
C1QB,C1QBP
HBEGF,CD82
IL22,IL10RA
IL10,IL10RA
S100A8,CD69
LTA,LTBR
WNT7B,FZD10
WNT7A,FZD10
IL33,IL1RL1
GNAI2,OPRD1
CXCL13,OPRD1
CALM2,SELL
VCAN,SELL
MUC7,SELL
CALM1,SELL
CALM3,SELL
CFH,SELL
MICB,KLRK1
MICA,KLRK1
RAET1L,KLRK1
ULBP2,KLRK1
ULBP3,KLRK1
CORT,GHSR
GDF9,ACVR2A
BMP7,ACVR2A
CFC1,ACVR2A
NODAL,ACVR2A
BMP15,ACVR2A
BMP10,ACVR2A
GDF7,ACVR2A
LEFTY1,ACVR2A
INHA,ACVR2A
INHBA,ACVR2A
GDF1,ACVR2A
INHBB,ACVR2A
LEFTY2,ACVR2A
GDF2,ACVR2A
TDGF1,ACVR2A
BMP2,ACVR2A
BMP6,ACVR2A
GDF11,ACVR2A
GDF5,ACVR2A
ADCYAP1,RAMP3
GHRH,RAMP3
CALCA,RAMP3
CGA,RAMP3
GCG,RAMP3
TSHB,RAMP3
PTH2,RAMP3
AVP,RAMP3
VIP,RAMP3
PTH,RAMP3
ADM2,RAMP3
PTHLH,RAMP3
NPS,RAMP3
FSHB,RAMP3
POMC,RAMP3
RLN2,RAMP3
CALCB,RAMP3
RLN3,RAMP3
GIP,RAMP3
CRH,RAMP3
INSL3,RAMP3
CALM2,PDE1B
CALM1,PDE1B
CALM3,PDE1B
APOA2,LRP1
AGRN,LRP1
GPC3,LRP1
PDGFB,LRP1
A2M,LRP1
APOC2,LRP1
SERPINA1,LRP1
SERPINE2,LRP1
HSPG2,LRP1
MMP13,LRP1
APOE,LRP1
PCSK9,LRP1
MMP9,LRP1
HSP90B1,LRP1
PLAU,LRP1
LRPAP1,LRP1
C3,LRP1
FCN2,LRP1
THBS1,LRP1
HSP90AA1,LRP1
APOA4,LRP1
CALR,LRP1
C1QB,LRP1
C4BPA,LRP1
VWF,LRP1
F8,LRP1
CCN2,LRP1
HPX,LRP1
APP,LRP1
LPL,LRP1
LIPC,LRP1
PF4,LRP1
PSAP,LRP1
WNT3A,LRP1
NODAL,ACVR1C
INHBB,ACVR1C
TDGF1,ACVR1C
ASIP,MC3R
IL9,IL9R
APP,PTGER2
F12,CD93
COL4A3,CD93
COL4A6,CD93
COL4A5,CD93
KNG1,CD93
SFTPA2,CD93
COL4A2,CD93
COL4A4,CD93
MBL2,CD93
COL1A2,CD93
COL4A1,CD93
C1QA,CD93
GNAI2,S1PR4
KISS1,MMP24
HLA-B,CANX
TNFSF4,TRAF2
TNF,TRAF2
FADD,TRAF2
GSTP1,TRAF2
NTNG2,LRRC4
WNT4,SMO
BMP2,SMO
SHH,SMO
CCL5,ACKR4
CCL11,ACKR4
CCL7,ACKR4
S100A9,CD68
S100A8,CD68
PDGFB,ART1
HLA-A,LILRA1
HLA-C,LILRA1
HLA-B,LILRA1
AFDN,NECTIN2
ADCYAP1,RAMP2
GHRH,RAMP2
CALCA,RAMP2
ADM,RAMP2
CGA,RAMP2
GCG,RAMP2
TSHB,RAMP2
PTH2,RAMP2
AVP,RAMP2
VIP,RAMP2
PTH,RAMP2
ADM2,RAMP2
PTHLH,RAMP2
NPS,RAMP2
FSHB,RAMP2
POMC,RAMP2
RLN2,RAMP2
CALCB,RAMP2
RLN3,RAMP2
GIP,RAMP2
CRH,RAMP2
INSL3,RAMP2
CALCA,RAMP1
ADM,RAMP1
VIP,RAMP1
ADM2,RAMP1
CALCB,RAMP1
GUCA2B,GUCY2D
CLEC3A,CLEC10A
ARF1,CHRM3
VEGFC,LYVE1
PCSK9,SORT1
PSAP,SORT1
MFNG,NOTCH2
PSEN1,NOTCH2
ADAM10,NOTCH2
APP,NOTCH2
NGF,KIDINS220
GNAI2,MTNR1B
DSC3,DSG3
DSC1,DSG3
DSC3,DSG1
PDGFD,PDGFRA
FGF19,KLB
FGF21,KLB
LAMA1,NT5E
FN1,NT5E
CALM1,MIP
LTA,RIPK1
TNF,RIPK1
CD14,RIPK1
CALR,HLA-F
B2M,HLA-F
HMGB1,TLR2
CCN1,TLR2
HSP90B1,TLR2
BGN,TLR2
SAA1,TLR2
VCAN,TLR2
ZG16B,TLR2
HRAS,TLR2
SFTPA1,TLR2
RNASE2,TLR2
CCN6,SORL1
MDK,SORL1
LRPAP1,SORL1
L1CAM,ITGAV
TNC,ITGAV
PLAU,ITGAV
EDIL3,ITGAV
COL4A6,ITGAV
COL4A5,ITGAV
SPP1,ITGAV
NID1,ITGAV
PDGFB,ITGAV
ICAM4,ITGAV
COL4A4,ITGAV
CALR,ITGAV
CCN1,ITGAV
FGG,ITGAV
FGA,ITGAV
COL4A3,ITGAV
MFGE8,ITGAV
FGB,ITGAV
FBN1,ITGAV
AZGP1,ITGAV
ADAM9,ITGAV
VEGFA,ITGAV
ADAM15,ITGAV
COL1A2,ITGAV
ANGPTL3,ITGAV
COL4A1,ITGAV
FN1,ITGAV
CP,SLC40A1
IGFBP4,LRP6
RSPO1,LRP6
PTH,LRP6
WNT1,LRP6
RSPO3,LRP6
WNT2,LRP6
WNT9B,LRP6
CCN2,LRP6
SOST,LRP6
APP,LRP6
CKLF,LRP6
WNT5A,LRP6
WNT7A,LRP6
WNT3A,LRP6
DSC3,DSG2
SAA1,SCARB1
PDGFC,PDGFRB
MFGE8,PDGFRB
PDGFC,FLT4
TNF,FLT4
COL1A2,FLT4
FN1,FLT4
LGALS3BP,CD33
IL12A,IL12RB2
ASIP,MGRN1
F2,ITGA2B
ICAM4,ITGA2B
CALR,ITGA2B
FGG,ITGA2B
FGA,ITGA2B
COL2A1,ITGA2B
FGB,ITGA2B
COL1A2,ITGA2B
FN1,ITGA2B
CALM1,GLP2R
SEMA6D,TYROBP
CALM2,TRPC5
CALM1,TRPC5
CALM3,TRPC5
CALM1,KCNN4
ASIP,ATRN
CALR,SCARF1
ARF1,PLD2
EGF,PLD2
CRISP3,A1BG
HRAS,GRIN2D
IL16,GRIN2D
HSPA1A,GRIN2D
IL27,IL27RA
PSEN1,NOTCH3
THBS2,NOTCH3
SCGB3A1,NOTCH3
CTF1,LIFR
CLCF1,LIFR
CNTF,LIFR
APP,APLP2
HLA-A,APLP2
PCSK9,APLP2
INHBC,ACVR1
BMP7,ACVR1
INHBB,ACVR1
GDF2,ACVR1
BMP2,ACVR1
BMP6,ACVR1
GDF5,ACVR1
TGFB2,ACVR1
GPC3,CD81
CD99,CD81
VCAN,SELP
SERPING1,SELP
VEGFA,TYRO3
MDK,LRP2
PLAU,LRP2
LRPAP1,LRP2
ARPC5,LRP2
AGT,LRP2
GC,LRP2
AVP,LRP2
ALB,LRP2
APOA2,LRP2
AGRN,LRP2
GPC3,LRP2
TF,LRP2
INS,LRP2
LPA,LRP2
APOA4,LRP2
EGF,LRP2
CUBN,LRP2
HSPA8,LRP2
SCGB1A1,LRP2
APOC2,LRP2
HSPG2,LRP2
LPL,LRP2
WNT5A,LRP2
SHH,LRP2
LCN2,LRP2
ACTR2,LRP2
LEP,LRP2
PDGFC,KDR
GREM1,KDR
TIMP3,KDR
SEMA6D,KDR
CXCL8,KDR
COL18A1,KDR
TNFSF12,TNFRSF8
AFDN,NECTIN1
LAMA1,GPC1
TDGF1,GPC1
BMP2,GPC1
SLIT1,GPC1
NRG1,GPC1
APP,GPC1
SERPINC1,GPC1
COL18A1,GPC1
SLIT2,GPC1
SHH,GPC1
VEGFA,GPC1
IL1F10,IL1RL2
IL18,IL1RL2
IL18,IL18RAP
RTN4,CNTNAP1
TNC,ITGA9
VEGFC,ITGA9
ADAM2,ITGA9
PLG,ITGA9
SPP1,ITGA9
F13A1,ITGA9
VEGFD,ITGA9
ADAM12,ITGA9
VCAM1,ITGA9
TGM2,ITGA9
VEGFA,ITGA9
CSF2,ITGA9
ADAM15,ITGA9
FN1,ITGA9
NPPC,NPR3
NPPB,NPR3
VIP,NPR3
NPPA,NPR3
AGT,ENPEP
SEMA3D,NRP1
SEMA3B,NRP1
SEMA3E,NRP1
SEMA4A,NRP1
FGF1,NRP1
CNTN2,NRP1
FGF7,NRP1
NXPH1,NRXN2
NXPH3,NRXN2
AFDN,NRXN2
CALM2,CACNA1C
NCAM1,CACNA1C
RIMS1,CACNA1C
CALM1,CACNA1C
CALM3,CACNA1C
WNT3A,LGR5
VCAM1,ITGB7
FN1,ITGB7
NRG3,ERBB3
AREG,ERBB3
L1CAM,ERBB3
TGFA,ERBB3
SCGB1A1,LMBR1L
GPC3,IGF1R
INS,IGF1R
GNAI2,IGF1R
CAMP,IGF1R
HSP90B1,ASGR1
HP,ASGR1
S100A4,ERBB2
NRG3,ERBB2
SEMA4D,ERBB2
NRG1,ERBB2
HLA-A,ERBB2
NRG4,ERBB2
HSP90B1,ERBB2
L1CAM,ERBB2
TGFA,ERBB2
NRG2,ERBB2
HSP90AA1,ERBB2
BTC,ERBB2
IFNW1,IFNAR1
IFNA16,IFNAR1
IFNA14,IFNAR1
IFNA17,IFNAR1
IFNA4,IFNAR1
IFNA13,IFNAR1
IFNA5,IFNAR1
IFNA1,IFNAR1
IFNB1,IFNAR1
IFNA6,IFNAR1
IFNA10,IFNAR1
IFNA8,IFNAR1
IFNE,IFNAR1
MMP9,IFNAR1
IFNA21,IFNAR1
IFNA2,IFNAR1
IL20,IL22RA1
IL22,IL22RA1
IL24,IL22RA1
TNF,CELSR2
SYK,FCGR2A
CXCL9,FCGR2A
PTPN11,FCRL4
PTPN6,FCRL4
TFF1,FCRL4
CALM1,PTH2R
IL31,OSMR
NRTN,GFRA3
GDNF,GFRA3
ARTN,GFRA3
BCAN,EGFR
S100A4,EGFR
ZP3,EGFR
NRG1,EGFR
FGF1,EGFR
NRG4,EGFR
ANXA1,EGFR
L1CAM,EGFR
EFEMP1,EGFR
FGL1,EGFR
ARF4,EGFR
GNAI2,EGFR
ANG,EGFR
FGF13,EGFR
GSTP1,EGFR
HSP90AA1,EGFR
CAMP,EGFR
CNTF,EGFR
CCN2,EGFR
LRIG2,EGFR
VEGFA,EGFR
CALM1,EGFR
SPINK1,EGFR
CALM3,EGFR
LIN7C,HTR2C
CALM1,HTR2C
FASLG,TNFRSF10B
MFNG,NOTCH1
PSEN1,NOTCH1
TNF,NOTCH1
WNT4,NOTCH1
DLK2,NOTCH1
ADAM17,NOTCH1
MFAP5,NOTCH1
MFAP2,NOTCH1
RBP3,NOTCH1
NTNG2,LRRC4C
NTNG1,LRRC4C
PLAU,ST14
SPINT1,ST14
PDYN,ADRA2A
GNAI2,ADRA2A
AGT,ADRA2A
CXCL12,ADRA2A
CXCL3,ADRA2A
CCL5,ADRA2A
CXCL11,ADRA2A
NMS,ADRA2A
APLN,ADRA2A
SST,ADRA2A
INSL5,ADRA2A
NPY,ADRA2A
CCL25,ADRA2A
POMC,ADRA2A
SAA1,ADRA2A
CXCL8,ADRA2A
PYY,ADRA2A
CCL16,ADRA2A
CXCL2,ADRA2A
CXCL13,ADRA2A
CXCL10,ADRA2A
PPBP,ADRA2A
PMCH,ADRA2A
CXCL5,ADRA2A
CCL19,ADRA2A
PNOC,ADRA2A
APP,ADRA2A
CXCL1,ADRA2A
NPB,ADRA2A
PPY,ADRA2A
CXCL9,ADRA2A
CXCL16,ADRA2A
CCL20,ADRA2A
NPW,ADRA2A
PENK,ADRA2A
CCL28,ADRA2A
RLN3,ADRA2A
PF4,ADRA2A
CORT,ADRA2A
ANXA1,ADRA2A
PDGFC,FLT1
VEGFC,FLT1
PLG,FLT1
VEGFD,FLT1
SORBS1,ITGA1
COL4A6,ITGA1
COL4A5,ITGA1
LAMA2,ITGA1
LAMA1,ITGA1
COL6A1,ITGA1
COL4A4,ITGA1
COL5A1,ITGA1
COL6A2,ITGA1
COL4A3,ITGA1
COL2A1,ITGA1
VEGFD,ITGA1
COL6A3,ITGA1
COL5A2,ITGA1
COL1A2,ITGA1
MATN1,ITGA1
COL4A1,ITGA1
PLA2G10,PLA2R1
FBN1,ITGB6
FN1,ITGB6
FYN,THY1
SFTPD,LY96
BGN,LY96
WNT1,FZD7
CSF2,CSF1R
GNAS,ADCY8
GNAI2,ADCY8
CALM1,ADCY8
CALM3,ADCY8
WNT4,FZD1
WNT7B,FZD1
WNT1,FZD1
IL25,IL17RB
B2M,CD1A
GNAS,HTR6
IFNL2,IL10RB
IL22,IL10RB
IFNL1,IL10RB
IL10,IL10RB
IL24,IL10RB
UCN3,IL10RB
IFNL3,IL10RB
PENK,OGFR
PIP,NPTN
GPI,AMFR
GHRL,PTGIR
GNAS,PTGIR
DEFB103B,CCR2
CCL11,CCR2
DEFB103A,CCR2
CCL24,CCR2
DEFB106A,CCR2
GNAI2,CCR5
S100A4,CCR5
CCL14,CCR5
CCL11,CCR5
CCL16,CCR5
CCL3L3,CCR5
IL16,CCR5
MDK,GPC2
FGF21,FGFR4
FGF3,FGFR4
FGF14,FGFR4
FGF11,FGFR4
FGF13,FGFR4
FGF12,FGFR4
IL16,GRIN2C
L1CAM,ITGA5
PLAU,ITGA5
SPP1,ITGA5
CCN1,ITGA5
FGG,ITGA5
FGA,ITGA5
VEGFD,ITGA5
CCN2,ITGA5
FGB,ITGA5
FBN1,ITGA5
ANGPT1,ITGA5
COL18A1,ITGA5
ADAM15,ITGA5
ADAM17,ITGA5
ANGPTL3,ITGA5
FN1,ITGA5
GNAS,ADCY9
GNAI2,ADCY9
WNT8A,LRP5
SOST,LRP5
WNT7B,LRP5
WNT8B,LRP5
PSEN1,NCSTN
CGB5,LHCGR
GNAI2,LHCGR
CGB3,LHCGR
GNAS,LHCGR
PROS1,MERTK
YARS1,CXCR1
GNAI2,CXCR1
IL17A,IL17RC
IL17F,IL17RC
FN1,IL17RC
CCL4,CCR1
CCL18,CCR1
PLAU,ITGB5
EDIL3,ITGB5
SORBS1,ITGB5
SPP1,ITGB5
TLN1,ITGB5
COL4A2,ITGB5
CCN1,ITGB5
ADAM9,ITGB5
COL18A1,ITGB5
ITGB3BP,ITGB5
LTBP3,ITGB5
LTBP1,ITGB5
COL4A6,ITGA2
COL4A5,ITGA2
LAMA2,ITGA2
LAMA1,ITGA2
LAMC3,ITGA2
COL6A1,ITGA2
COL4A4,ITGA2
COL11A1,ITGA2
COL6A2,ITGA2
COL4A3,ITGA2
COL2A1,ITGA2
VEGFD,ITGA2
MMP1,ITGA2
HSPG2,ITGA2
LAMB3,ITGA2
CHAD,ITGA2
COL1A2,ITGA2
COL4A1,ITGA2
FN1,ITGA2
COL7A1,ITGA2
COL3A1,ITGA2
NUCB2,ERAP1
TNF,TNFRSF21
IL22,IL22RA2
GNAS,ADCY1
GNAI2,ADCY1
TNFSF13,TNFRSF11B
FN1,TNFRSF11B
RIMS1,SLC18A2
CXCL12,AVPR1A
VIP,AVPR1A
FAT4,DCHS1
NPY,MC4R
ASIP,MC4R
ADM,GPR182
B2M,CD3D
HLA-A,CD3D
HLA-C,CD3D
HLA-B,CD3D
PDYN,MTNR1A
GNAI2,MTNR1A
AGT,MTNR1A
CXCL12,MTNR1A
CCL5,MTNR1A
CXCL11,MTNR1A
NMS,MTNR1A
APLN,MTNR1A
NPY,MTNR1A
CCL25,MTNR1A
POMC,MTNR1A
SAA1,MTNR1A
CALR,MTNR1A
CXCL8,MTNR1A
PYY,MTNR1A
CCL16,MTNR1A
CXCL2,MTNR1A
CXCL10,MTNR1A
PMCH,MTNR1A
CCL19,MTNR1A
CXCL1,MTNR1A
NPB,MTNR1A
PPY,MTNR1A
CXCL9,MTNR1A
CCL20,MTNR1A
NPW,MTNR1A
PENK,MTNR1A
CCL28,MTNR1A
RLN3,MTNR1A
CORT,MTNR1A
ANXA1,MTNR1A
SPP1,PTGER4
TAC4,TACR3
GNAS,PTGDR
LRPAP1,LRP8
SORBS1,INSR
AHSG,INSR
ARF1,INSR
GIP,INSR
IGF2,INSR
HRAS,INSR
CALM1,INSR
F2,GP9
DKK1,KREMEN2
SLIT2,ROBO4
FN1,ROBO4
ACE2,SLC6A19
GHRH,ADRB2
AVP,ADRB2
PTHLH,ADRB2
TF,ADRB2
POMC,ADRB2
RLN2,ADRB2
HSPA8,ADRB2
ADCYAP1,ADRB2
CALCA,ADRB2
ADM,ADRB2
CGA,ADRB2
GCG,ADRB2
VIP,ADRB2
ADM2,ADRB2
NPS,ADRB2
FSHB,ADRB2
CALCB,ADRB2
ACTR2,ADRB2
RLN3,ADRB2
GIP,ADRB2
INSL3,ADRB2
GNAI2,S1PR1
PDGFB,S1PR1
PENK,MRGPRX1
S100A9,ALCAM
CALM1,GRM5
TSLP,IL7R
GNAI2,CHRM1
LAMA3,SDC2
LAMA1,SDC2
TNFSF13,SDC2
HRAS,SDC2
SERPINC1,SDC2
FN1,SDC2
GNAI2,P2RY12
PLAU,MRC2
LGALS9,MRC2
CER1,MRC2
NPY,NPFFR2
CALM1,GP6
CRISP2,CATSPER1
SHBG,GPRC6A
CXCL2,XCR1
CALM1,AQP1
C1QA,CSPG4
C4B,CD46
IL20,IL20RA
IL24,IL20RA
IL19,IL20RA
B2M,LILRB1
HLA-A,LILRB1
INS,LILRB1
HLA-C,LILRB1
HLA-B,LILRB1
SEMA4D,MET
SEMA5A,MET
ASIP,MC5R
TNF,ICOS
CD55,ADGRE2
IL17A,IL17RA
IL17F,IL17RA
SEMA4B,DCBLD2
GHRH,PTH1R
AVP,PTH1R
POMC,PTH1R
RLN2,PTH1R
ADCYAP1,PTH1R
CALCA,PTH1R
ADM,PTH1R
CGA,PTH1R
GCG,PTH1R
VIP,PTH1R
ADM2,PTH1R
NPS,PTH1R
FSHB,PTH1R
CALCB,PTH1R
RLN3,PTH1R
GIP,PTH1R
INSL3,PTH1R
PDX1,SLC2A2
HLA-A,KIR3DL2
CCL4,CCR8
AVP,VIPR1
PTHLH,VIPR1
POMC,VIPR1
RLN2,VIPR1
CALCA,VIPR1
ADM,VIPR1
CGA,VIPR1
GCG,VIPR1
ADM2,VIPR1
GNAS,VIPR1
NPS,VIPR1
FSHB,VIPR1
PTMA,VIPR1
CALM1,VIPR1
CALCB,VIPR1
RLN3,VIPR1
GIP,VIPR1
INSL3,VIPR1
IFNL2,IFNLR1
IFNL1,IFNLR1
IFNL3,IFNLR1
IL20,IL20RB
IL24,IL20RB
IL19,IL20RB
CALM1,CNGA2
F11,GP1BA
APOD,LEPR
RTN4,RTN4RL1
DKK1,KREMEN1
DKK3,KREMEN1
OBP2A,OR1G1
BSG,SELE
AFDN,EPHB3
CCL25,CCR10
CCL7,CCR10
CXCL12,CCR4
CCL3,CCR4
NTN4,UNC5A
PTGS2,PTGDR2
FAM3C,LAMP1
AMELX,LAMP1
CORT,MRGPRX2
ASIP,MC2R
F10,F3
IL6,F3
F7,F3
PTN,PTPRB
B2M,KIR2DL1
HLA-A,KIR2DL1
BMP5,HJV
RGMA,HJV
BMP2,HJV
IL22,IL21R
NRG1,MS4A4A
CCN1,CAV1
PTGS2,CAV1
HRAS,CAV1
MMP12,PLAUR
FN1,PLAUR
BMP8B,PLAUR
WNT5B,KLRG2
HLA-G,KIR2DL4
FGF14,FGFR3
FGF12,FGFR3
BMP7,ACVR2B
LEFTY2,ACVR2B
GDF2,ACVR2B
BMP2,ACVR2B
GDF5,ACVR2B
NRG1,ADGRL1
LAMB3,COL17A1
NPPB,NPR2
NPPA,NPR2
RGMA,NEO1
TNF,TRADD
B2M,KIR2DL3
HLA-A,KIR2DL3
CXCL9,KIR2DL3
HLA-B,KIR2DL3
CCN2,ERBB4
CD5L,CD5
GHRH,ADRB3
AVP,ADRB3
PTHLH,ADRB3
POMC,ADRB3
RLN2,ADRB3
ADCYAP1,ADRB3
ADM,ADRB3
CGA,ADRB3
GCG,ADRB3
VIP,ADRB3
ADM2,ADRB3
GNAS,ADRB3
NPS,ADRB3
FSHB,ADRB3
CALCB,ADRB3
RLN3,ADRB3
GIP,ADRB3
INSL3,ADRB3
DEFB4B,CCR6
IFNW1,IFNAR2
IFNA16,IFNAR2
IFNA14,IFNAR2
IFNA17,IFNAR2
IFNA4,IFNAR2
IFNA13,IFNAR2
IFNA5,IFNAR2
IFNB1,IFNAR2
IFNA6,IFNAR2
IFNA10,IFNAR2
IFNA8,IFNAR2
IFNE,IFNAR2
IFNA21,IFNAR2
IFNA2,IFNAR2
MDK,SDC3
COL5A1,SDC3
SHBG,SLC37A1
CALM1,KCNQ5
CD24,SIGLEC10
LAMA2,RPSA
LAMA1,RPSA
LAMB2,RPSA
F8,ASGR2
HP,ASGR2
EDN2,KEL
EDN1,KEL
NCAM1,GFRA1
GDNF,GFRA1
ARTN,GFRA1
PTPN6,CLEC12A
GDNF,RET
ARTN,RET
VEGFA,RET
TNF,FAS
CALM1,FAS
PIGA,PIGR
ICAM2,ITGAL
PLAU,IGF2R
TNF,PTPRS
HSPG2,PTPRS
CCL5,CCRL2
PDYN,GRM7
AGT,GRM7
CXCL12,GRM7
CCL5,GRM7
NMS,GRM7
APLN,GRM7
NPY,GRM7
CCL25,GRM7
POMC,GRM7
SAA1,GRM7
PYY,GRM7
CCL16,GRM7
CXCL2,GRM7
CXCL1,GRM7
PPY,GRM7
CXCL9,GRM7
CCL20,GRM7
CCL28,GRM7
RLN3,GRM7
CORT,GRM7
ANXA1,GRM7
GNAS,AVPR2
TGFB2,TGFBR2
S100A10,TRPV6
ADM2,CALCR
MBL2,CALCR
GSTO1,RYR1
TNFSF13B,TFRC
B2M,TFRC
VEGFC,NRP2
SEMA3B,NRP2
ADCYAP1,DPP4
GCG,DPP4
NPPB,DPP4
NPY,DPP4
VIP,DPP4
ADA,DPP4
MMP9,TLR9
HRAS,TLR9
B2M,CD247
COL4A6,CD47
LGALS9,CD47
COL4A4,CD47
COL4A3,CD47
COL4A1,CD47
CD55,CR1
C4A,CR1
C4B,CR1
C1QA,CR1
GNAS,ADORA1
AFDN,NECTIN4
ASIP,F11R
AFDN,F11R
B2M,CD1B
PSAP,CD1B
IL6,IL6R
NPPC,NPR1
AFDN,EPHA7
COL2A1,ITGA10
CEACAM16,TECTB
CD59,CD2
NMB,BRS3
EDN1,ADGRL4
MDK,TSPAN1
GDF9,BMPR1A
BMP7,BMPR1A
BMP8B,BMPR1A
BMP2,BMPR1A
GDF5,BMPR1A
TNFSF13B,CD40
LTB,CD40
ANGPTL2,TIE1
ANGPT4,TIE1
ANGPT1,TIE1
NTF4,BEX3
BDNF,BEX3
CXCL12,SDC4
CCL5,SDC4
LAMA1,SDC4
EFNA4,EPHA10
BMP7,ENG
GDF2,ENG
BMP2,ENG
CXCL12,CXCR3
CCL5,CXCR3
CCL7,CXCR3
CCN1,TLR4
HSPA1A,TLR4
IRAK4,TLR4
ZG16B,TLR4
RIMS1,SLC18A3
ALOX5AP,ALOX5
AGRN,MUSK
COLQ,MUSK
ADIPOQ,CNR2
CCL4,CNR2
GDF9,BMPR2
BMP7,BMPR2
GDF2,BMPR2
BMP2,BMPR2
RGMA,BMPR2
VEGFA,EPHB2
AFDN,EPHB2
PSAP,AR
PLTP,ABCA1
GDF9,TGFBR1
HLA-C,NOTCH4
GDNF,EDNRB
