,ligand,receptor,Source,evidence,type,LR
32,GDF6,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6_BMPR1A&BMPR2
33,GDF6,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6_ACVR2A&BMPR1B
34,GDF6,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6_ACVR2B&BMPR1B
35,GDF6,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6_BMPR1B&BMPR2
36,GDF7,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7_ACVR2A&BMPR1A
37,GDF7,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7_ACVR2B&BMPR1A
38,GDF7,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7_BMPR1A&BMPR2
39,GDF7,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7_ACVR2A&BMPR1B
40,GDF7,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7_ACVR2B&BMPR1B
41,GDF7,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7_BMPR1B&BMPR2
42,BMP15,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP15_BMPR1B&BMPR2
43,BMP5,ACVR1&ACVR2A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR1&ACVR2A
44,BMP5,ACVR1&ACVR2B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR1&ACVR2B
45,BMP5,ACVR1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR1&BMPR2
46,BMP5,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR2A&BMPR1A
47,BMP5,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR2B&BMPR1A
48,BMP5,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_BMPR1A&BMPR2
49,BMP5,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR2A&BMPR1B
50,BMP5,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_ACVR2B&BMPR1B
51,BMP5,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5_BMPR1B&BMPR2
52,BMP6,ACVR1&ACVR2A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR1&ACVR2A
53,BMP6,ACVR1&ACVR2B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR1&ACVR2B
54,BMP6,ACVR1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR1&BMPR2
55,BMP6,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR2A&BMPR1A
56,BMP6,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR2B&BMPR1A
57,BMP6,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_BMPR1A&BMPR2
58,BMP6,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR2A&BMPR1B
59,BMP6,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_ACVR2B&BMPR1B
60,BMP6,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6_BMPR1B&BMPR2
61,BMP7,ACVR1&ACVR2A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR1&ACVR2A
62,BMP7,ACVR1&ACVR2B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR1&ACVR2B
63,BMP7,ACVR1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR1&BMPR2
64,BMP7,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR2A&BMPR1A
65,BMP7,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR2B&BMPR1A
66,BMP7,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_BMPR1A&BMPR2
67,BMP7,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR2A&BMPR1B
68,BMP7,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_ACVR2B&BMPR1B
69,BMP7,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7_BMPR1B&BMPR2
70,BMP8A,ACVR1&ACVR2A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR1&ACVR2A
71,BMP8A,ACVR1&ACVR2B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR1&ACVR2B
72,BMP8A,ACVR1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR1&BMPR2
73,BMP8A,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR2A&BMPR1A
74,BMP8A,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR2B&BMPR1A
75,BMP8A,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_BMPR1A&BMPR2
76,BMP8A,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR2A&BMPR1B
77,BMP8A,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_ACVR2B&BMPR1B
78,BMP8A,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A_BMPR1B&BMPR2
79,BMP8B,ACVR1&ACVR2A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR1&ACVR2A
80,BMP8B,ACVR1&ACVR2B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR1&ACVR2B
81,BMP8B,ACVR1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR1&BMPR2
82,BMP8B,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR2A&BMPR1A
83,BMP8B,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR2B&BMPR1A
84,BMP8B,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_BMPR1A&BMPR2
85,BMP8B,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR2A&BMPR1B
86,BMP8B,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_ACVR2B&BMPR1B
87,BMP8B,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B_BMPR1B&BMPR2
88,BMP10,ACVRL1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264; PMID: 25620979,Secreted Signaling,BMP10_ACVRL1&BMPR2
89,BMP10,ACVR2A&ACVRL1,CellChat,KEGG: hsa04350; PMID:26893264; PMID: 25620979,Secreted Signaling,BMP10_ACVR2A&ACVRL1
90,GDF2,ACVRL1&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF2_ACVRL1&BMPR2
91,GDF2,ACVR2A&ACVRL1,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF2_ACVR2A&ACVRL1
92,GDF9,ACVR1B&BMPR2,CellChat,KEGG: hsa04350,Secreted Signaling,GDF9_ACVR1B&BMPR2
93,GDF10,ACVR1B&ACVR2A,CellChat,KEGG: hsa04350,Secreted Signaling,GDF10_ACVR1B&ACVR2A
94,GDF11,ACVR2A&TGFBR1,CellChat,KEGG: hsa04350,Secreted Signaling,GDF11_ACVR2A&TGFBR1
95,GDF11,ACVR2B&TGFBR1,CellChat,KEGG: hsa04350,Secreted Signaling,GDF11_ACVR2B&TGFBR1
96,GDF11,ACVR1B&ACVR2B,CellChat,KEGG: hsa04350,Secreted Signaling,GDF11_ACVR1B&ACVR2B
97,GDF15,TGFBR2,CellChat,KEGG: hsa04350,Secreted Signaling,GDF15_TGFBR2
98,MSTN,ACVR2B&TGFBR1,CellChat,KEGG: hsa04060,Secreted Signaling,MSTN_ACVR2B&TGFBR1
99,MSTN,ACVR1B&ACVR2B,CellChat,KEGG: hsa04060,Secreted Signaling,MSTN_ACVR1B&ACVR2B
100,MSTN,ACVR1B&ACVR2A,CellChat,KEGG: hsa04060,Secreted Signaling,MSTN_ACVR1B&ACVR2A
101,MSTN,ACVR2A&TGFBR1,CellChat,KEGG: hsa04060,Secreted Signaling,MSTN_ACVR2A&TGFBR1
102,AMH,ACVR1&AMHR2,CellChat,KEGG: hsa04060,Secreted Signaling,AMH_ACVR1&AMHR2
103,AMH,AMHR2&BMPR1A,CellChat,KEGG: hsa04060,Secreted Signaling,AMH_AMHR2&BMPR1A
104,GDNF,GFRA1&RET,CellChat,PMID: 11544105,Secreted Signaling,GDNF_GFRA1&RET
105,NRTN,GFRA2&RET,CellChat,PMID: 11544106,Secreted Signaling,NRTN_GFRA2&RET
106,ARTN,GFRA3&RET,CellChat,PMID: 11544107,Secreted Signaling,ARTN_GFRA3&RET
107,PSPN,GFRA4&RET,CellChat,PMID: 11544108,Secreted Signaling,PSPN_GFRA4&RET
108,ARTN,GFRA1&RET,CellChat,PMID: 11544109,Secreted Signaling,ARTN_GFRA1&RET
109,NODAL,ACVR1B&ACVR2A&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,NODAL_ACVR1B&ACVR2A&CFC1
110,NODAL,ACVR1C&ACVR2A&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,NODAL_ACVR1C&ACVR2A&CFC1
111,NODAL,ACVR1B&ACVR2B&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,NODAL_ACVR1B&ACVR2B&CFC1
112,NODAL,ACVR1C&ACVR2B&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,NODAL_ACVR1C&ACVR2B&CFC1
113,GDF1,ACVR1B&ACVR2A&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF1_ACVR1B&ACVR2A&CFC1
114,GDF1,ACVR1B&ACVR2B&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF1_ACVR1B&ACVR2B&CFC1
115,GDF1,ACVR1C&ACVR2A&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF1_ACVR1C&ACVR2A&CFC1
116,GDF1,ACVR1C&ACVR2B&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF1_ACVR1C&ACVR2B&CFC1
117,GDF3,ACVR1B&ACVR2A&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF3_ACVR1B&ACVR2A&CFC1
118,GDF3,ACVR1B&ACVR2B&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF3_ACVR1B&ACVR2B&CFC1
119,GDF3,ACVR1C&ACVR2A&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF3_ACVR1C&ACVR2A&CFC1
120,GDF3,ACVR1C&ACVR2B&CFC1,CellChat,KEGG: hsa04350; PMID: 17287255,Secreted Signaling,GDF3_ACVR1C&ACVR2B&CFC1
121,INHBA,ACVR1B&ACVR2A,CellChat,KEGG: hsa04350,Secreted Signaling,INHBA_ACVR1B&ACVR2A
122,INHBA,ACVR1B&ACVR2B,CellChat,KEGG: hsa04351,Secreted Signaling,INHBA_ACVR1B&ACVR2B
123,INHBB,ACVR1B&ACVR2A,CellChat,KEGG: hsa04352,Secreted Signaling,INHBB_ACVR1B&ACVR2A
124,INHBB,ACVR1B&ACVR2B,CellChat,KEGG: hsa04353,Secreted Signaling,INHBB_ACVR1B&ACVR2B
125,INHBB,ACVR1C&ACVR2A,CellChat,KEGG: hsa04354,Secreted Signaling,INHBB_ACVR1C&ACVR2A
126,INHBB,ACVR1C&ACVR2B,CellChat,KEGG: hsa04355,Secreted Signaling,INHBB_ACVR1C&ACVR2B
127,INHBC,ACVR1B&ACVR2A,CellChat,KEGG: hsa04356,Secreted Signaling,INHBC_ACVR1B&ACVR2A
128,INHBC,ACVR1B&ACVR2B,CellChat,KEGG: hsa04357,Secreted Signaling,INHBC_ACVR1B&ACVR2B
129,INHBC,ACVR1C&ACVR2A,CellChat,KEGG: hsa04358,Secreted Signaling,INHBC_ACVR1C&ACVR2A
130,INHBC,ACVR1C&ACVR2B,CellChat,KEGG: hsa04359,Secreted Signaling,INHBC_ACVR1C&ACVR2B
131,INHBE,ACVR1B&ACVR2A,CellChat,KEGG: hsa04360,Secreted Signaling,INHBE_ACVR1B&ACVR2A
132,INHBE,ACVR1B&ACVR2B,CellChat,KEGG: hsa04361,Secreted Signaling,INHBE_ACVR1B&ACVR2B
133,INHBE,ACVR1C&ACVR2A,CellChat,KEGG: hsa04362,Secreted Signaling,INHBE_ACVR1C&ACVR2A
134,INHBE,ACVR1C&ACVR2B,CellChat,KEGG: hsa04363,Secreted Signaling,INHBE_ACVR1C&ACVR2B
135,INHBA&INHBB,ACVR1B&ACVR2A,CellChat,PMID: 2457849; PMID: 22991378,Secreted Signaling,INHBA&INHBB_ACVR1B&ACVR2A
136,INHBA&INHBB,ACVR1B&ACVR2B,CellChat,PMID: 2457849; PMID: 22991378,Secreted Signaling,INHBA&INHBB_ACVR1B&ACVR2B
137,INHBA&INHBB,ACVR1C&ACVR2A,CellChat,PMID: 2457849; PMID: 22991378,Secreted Signaling,INHBA&INHBB_ACVR1C&ACVR2A
138,INHBA&INHBB,ACVR1C&ACVR2B,CellChat,PMID: 2457849; PMID: 22991378,Secreted Signaling,INHBA&INHBB_ACVR1C&ACVR2B
139,INHA&INHBA,ACVR2A,CellChat,PMID: 15027884,Secreted Signaling,INHA&INHBA_ACVR2A
140,INHA&INHBB,ACVR2B,CellChat,PMID: 15027884,Secreted Signaling,INHA&INHBB_ACVR2B
141,WNT1,FZD1&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD1&LRP5
142,WNT1,FZD10&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD10&LRP5
143,WNT1,FZD2&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD2&LRP5
144,WNT1,FZD3&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD3&LRP5
145,WNT1,FZD4&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD4&LRP5
146,WNT1,FZD5&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD5&LRP5
147,WNT1,FZD6&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD6&LRP5
148,WNT1,FZD7&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD7&LRP5
149,WNT1,FZD8&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD8&LRP5
150,WNT1,FZD9&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT1_FZD9&LRP5
151,WNT10A,FZD1&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD1&LRP5
152,WNT10A,FZD10&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD10&LRP5
153,WNT10A,FZD2&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD2&LRP5
154,WNT10A,FZD3&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD3&LRP5
155,WNT10A,FZD4&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD4&LRP5
156,WNT10A,FZD5&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD5&LRP5
157,WNT10A,FZD6&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD6&LRP5
158,WNT10A,FZD7&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD7&LRP5
159,WNT10A,FZD8&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD8&LRP5
160,WNT10A,FZD9&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10A_FZD9&LRP5
161,WNT10B,FZD1&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD1&LRP5
162,WNT10B,FZD10&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD10&LRP5
163,WNT10B,FZD2&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD2&LRP5
164,WNT10B,FZD3&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD3&LRP5
165,WNT10B,FZD4&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD4&LRP5
166,WNT10B,FZD5&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD5&LRP5
167,WNT10B,FZD6&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD6&LRP5
168,WNT10B,FZD7&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD7&LRP5
169,WNT10B,FZD8&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD8&LRP5
170,WNT10B,FZD9&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT10B_FZD9&LRP5
171,WNT16,FZD1&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD1&LRP5
172,WNT16,FZD10&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD10&LRP5
173,WNT16,FZD2&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD2&LRP5
174,WNT16,FZD3&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD3&LRP5
175,WNT16,FZD4&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD4&LRP5
176,WNT16,FZD5&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD5&LRP5
177,WNT16,FZD6&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD6&LRP5
178,WNT16,FZD7&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD7&LRP5
179,WNT16,FZD8&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD8&LRP5
180,WNT16,FZD9&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT16_FZD9&LRP5
181,WNT2,FZD1&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD1&LRP5
182,WNT2,FZD10&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD10&LRP5
183,WNT2,FZD2&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD2&LRP5
184,WNT2,FZD3&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD3&LRP5
185,WNT2,FZD4&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD4&LRP5
186,WNT2,FZD5&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD5&LRP5
187,WNT2,FZD6&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD6&LRP5
188,WNT2,FZD7&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD7&LRP5
189,WNT2,FZD8&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD8&LRP5
190,WNT2,FZD9&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2_FZD9&LRP5
191,WNT2B,FZD1&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD1&LRP5
192,WNT2B,FZD10&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD10&LRP5
193,WNT2B,FZD2&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD2&LRP5
194,WNT2B,FZD3&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD3&LRP5
195,WNT2B,FZD4&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD4&LRP5
196,WNT2B,FZD5&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD5&LRP5
197,WNT2B,FZD6&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD6&LRP5
198,WNT2B,FZD7&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD7&LRP5
199,WNT2B,FZD8&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD8&LRP5
200,WNT2B,FZD9&LRP5,CellChat,KEGG: hsa04310; PMID: 23209147,Secreted Signaling,WNT2B_FZD9&LRP5
